Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679436;1235653;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815;1237410;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675105;1237890;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676439;1236966;de
Bonstetten;8906;0;Bonstetten;3;ZH;2677799;1241025;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682996;1232962;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684169;1231177;de
Hedingen;8908;0;Hedingen;5;ZH;2676519;1239054;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2682262;1231284;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;2680023;1231590;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680341;1230665;de
Knonau;8934;0;Knonau;7;ZH;2677403;1230822;de
Maschwanden;8933;0;Maschwanden;8;ZH;2674786;1232061;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677614;1232938;de
Obfelden;8912;0;Obfelden;10;ZH;2674502;1235214;de
Ottenbach;8913;0;Ottenbach;11;ZH;2673060;1237324;de
Rifferswil;8911;0;Rifferswil;12;ZH;2680093;1233046;de
Stallikon;8143;0;Stallikon;13;ZH;2679551;1242199;de
Uetliberg;8143;2;Stallikon;13;ZH;2679542;1244825;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;2678321;1243535;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;2694410;1270774;de
Benken ZH;8463;0;Benken (ZH);22;ZH;2691311;1278717;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2687249;1269506;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687808;1268053;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689123;1267148;de
Dachsen;8447;0;Dachsen;25;ZH;2688270;1280254;de
Dorf;8458;0;Dorf;26;ZH;2690996;1269699;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690271;1282950;de
Langwiesen;8246;0;Feuerthalen;27;ZH;2691950;1282202;de
Flaach;8416;0;Flaach;28;ZH;2687598;1269831;de
Flurlingen;8247;0;Flurlingen;29;ZH;2689293;1282182;de
Andelfingen;8450;0;Andelfingen;30;ZH;2693253;1272313;de
Henggart;8444;0;Henggart;31;ZH;2693670;1268742;de
Humlikon;8457;0;Humlikon;32;ZH;2692614;1270162;de
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;2693581;1272835;de
Alten;8453;0;Kleinandelfingen;33;ZH;2690909;1272782;de
Oerlingen;8461;0;Kleinandelfingen;33;ZH;2693031;1275546;de
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;2687813;1280577;de
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;2689803;1280733;de
Marthalen;8460;0;Marthalen;35;ZH;2690936;1275649;de
Ellikon am Rhein;8464;0;Marthalen;35;ZH;2687135;1273399;de
Oberstammheim;8477;0;Oberstammheim;36;ZH;2702399;1276817;de
Ossingen;8475;0;Ossingen;37;ZH;2696777;1274089;de
Rheinau;8462;0;Rheinau;38;ZH;2687521;1277682;de
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;2698984;1270638;de
Rudolfingen;8465;0;Trüllikon;40;ZH;2692789;1277364;de
Wildensbuch;8465;1;Trüllikon;40;ZH;2693224;1278500;de
Trüllikon;8466;0;Trüllikon;40;ZH;2694210;1277042;de
Truttikon;8467;0;Truttikon;41;ZH;2696798;1276290;de
Unterstammheim;8476;0;Unterstammheim;42;ZH;2701723;1277564;de
Volken;8459;0;Volken;43;ZH;2689566;1269805;de
Waltalingen;8468;0;Waltalingen;44;ZH;2700338;1275447;de
Guntalingen;8468;2;Waltalingen;44;ZH;2699722;1276795;de
Bachenbülach;8184;0;Bachenbülach;51;ZH;2683462;1262013;de
Bassersdorf;8303;0;Bassersdorf;52;ZH;2689695;1255514;de
Bülach;8180;0;Bülach;53;ZH;2683022;1263508;de
Dietlikon;8305;0;Dietlikon;54;ZH;2688817;1253413;de
Eglisau;8193;0;Eglisau;55;ZH;2681816;1269953;de
Embrach;8424;0;Embrach;56;ZH;2687141;1261806;de
Freienstein;8427;2;Freienstein-Teufen;57;ZH;2686762;1265290;de
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;2684967;1267185;de
Glattfelden;8192;0;Glattfelden;58;ZH;2679802;1268105;de
Zweidlen;8192;1;Glattfelden;58;ZH;2677369;1268308;de
Hochfelden;8182;0;Hochfelden;59;ZH;2681100;1264181;de
Höri;8181;0;Höri;60;ZH;2680594;1262402;de
Hüntwangen;8194;0;Hüntwangen;61;ZH;2679293;1272172;de
Kloten;8302;0;Kloten;62;ZH;2686403;1256380;de
Lufingen;8426;0;Lufingen;63;ZH;2687042;1260600;de
Nürensdorf;8309;0;Nürensdorf;64;ZH;2691300;1255947;de
Oberembrach;8425;0;Oberembrach;65;ZH;2688838;1260294;de
Glattbrugg;8152;0;Opfikon;66;ZH;2685033;1254250;de
Opfikon;8152;1;Opfikon;66;ZH;2686231;1253984;de
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;2684835;1253155;de
Rafz;8197;0;Rafz;67;ZH;2682428;1274322;de
Rorbas;8427;3;Rorbas;68;ZH;2685809;1264872;de
Wallisellen;8304;0;Wallisellen;69;ZH;2687028;1251957;de
Wasterkingen;8195;0;Wasterkingen;70;ZH;2677774;1271560;de
Wil ZH;8196;0;Wil (ZH);71;ZH;2680078;1272987;de
Winkel;8185;0;Winkel;72;ZH;2684086;1260791;de
Bachs;8164;0;Bachs;81;ZH;2675344;1264293;de
Boppelsen;8113;0;Boppelsen;82;ZH;2672671;1258197;de
Buchs ZH;8107;0;Buchs (ZH);83;ZH;2675366;1256927;de
Dällikon;8108;0;Dällikon;84;ZH;2675488;1254830;de
Dänikon ZH;8114;0;Dänikon;85;ZH;2672917;1255466;de
Dielsdorf;8157;0;Dielsdorf;86;ZH;2676493;1259764;de
Hüttikon;8115;0;Hüttikon;87;ZH;2671541;1255465;de
Neerach;8173;0;Neerach;88;ZH;2678030;1263041;de
Niederglatt ZH;8172;0;Niederglatt;89;ZH;2680254;1260178;de
Niederhasli;8155;0;Niederhasli;90;ZH;2678776;1259586;de
Nassenwil;8155;1;Niederhasli;90;ZH;2677870;1257733;de
Oberhasli;8156;0;Niederhasli;90;ZH;2679892;1257721;de
Niederweningen;8166;0;Niederweningen;91;ZH;2670093;1261903;de
Oberglatt ZH;8154;0;Oberglatt;92;ZH;2681567;1258991;de
Oberweningen;8165;2;Oberweningen;93;ZH;2672985;1261897;de
Otelfingen;8112;0;Otelfingen;94;ZH;2671517;1257224;de
Regensberg;8158;0;Regensberg;95;ZH;2675384;1259634;de
Regensdorf;8105;0;Regensdorf;96;ZH;2677478;1253827;de
Watt;8105;2;Regensdorf;96;ZH;2678645;1255191;de
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;2677296;1256008;de
Rümlang;8153;0;Rümlang;97;ZH;2682508;1256231;de
Schleinikon;8165;3;Schleinikon;98;ZH;2671798;1261251;de
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;2673707;1261493;de
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;2677375;1264551;de
Windlach;8175;0;Stadel;100;ZH;2678024;1266117;de
Steinmaur;8162;0;Steinmaur;101;ZH;2676631;1261426;de
Sünikon;8162;1;Steinmaur;101;ZH;2675154;1260471;de
Weiach;8187;0;Weiach;102;ZH;2675210;1267913;de
Bäretswil;8344;0;Bäretswil;111;ZH;2707100;1243931;de
Adetswil;8345;0;Bäretswil;111;ZH;2705932;1244242;de
Bubikon;8608;0;Bubikon;112;ZH;2704320;1236261;de
Wolfhausen;8633;0;Bubikon;112;ZH;2703048;1234854;de
Tann;8632;0;Dürnten;113;ZH;2706929;1235700;de
Dürnten;8635;0;Dürnten;113;ZH;2706266;1237311;de
Steg im Tösstal;8496;0;Fischenthal;114;ZH;2712852;1245859;de
Fischenthal;8497;0;Fischenthal;114;ZH;2711914;1243345;de
Gibswil;8498;0;Fischenthal;114;ZH;2711646;1241392;de
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;2699688;1241957;de
Grüt (Gossau ZH);8624;0;Gossau (ZH);115;ZH;2701576;1240888;de
Gossau ZH;8625;0;Gossau (ZH);115;ZH;2700135;1239751;de
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;2701404;1239266;de
Grüningen;8627;0;Grüningen;116;ZH;2700106;1237944;de
Hinwil;8340;0;Hinwil;117;ZH;2706525;1239878;de
Wernetshausen;8342;0;Hinwil;117;ZH;2707984;1239658;de
Rüti ZH;8630;0;Rüti (ZH);118;ZH;2706756;1235204;de
Aathal-Seegräben;8607;0;Seegräben;119;ZH;2700586;1244029;de
Wald ZH;8636;0;Wald (ZH);120;ZH;2711773;1237291;de
Laupen ZH;8637;0;Wald (ZH);120;ZH;2713020;1236166;de
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;2703396;1242181;de
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;2704168;1243343;de
Adliswil;8134;0;Adliswil;131;ZH;2681938;1240784;de
Hütten;8825;0;Hütten;134;ZH;2693268;1225697;de
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;2683478;1241648;de
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;2682904;1238062;de
Oberrieden;8942;0;Oberrieden;137;ZH;2686108;1236859;de
Richterswil;8805;0;Richterswil;138;ZH;2695632;1229360;de
Samstagern;8833;0;Richterswil;138;ZH;2694227;1227429;de
Rüschlikon;8803;0;Rüschlikon;139;ZH;2684407;1240427;de
Schönenberg ZH;8824;0;Schönenberg (ZH);140;ZH;2691422;1227586;de
Gattikon;8136;0;Thalwil;141;ZH;2684120;1237676;de
Thalwil;8800;0;Thalwil;141;ZH;2685517;1238319;de
Au ZH;8804;0;Wädenswil;142;ZH;2691435;1233719;de
Wädenswil;8820;0;Wädenswil;142;ZH;2693383;1231572;de
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;2687193;1239686;de
Herrliberg;8704;0;Herrliberg;152;ZH;2689134;1237814;de
